file_id,source_id,content_id,relative_path,system,extension,bytes,sha256,line_count,evidence_type,research_status,source_quality,version_duplicate_status,duplicate_of_paths,structured_data_value,implementation_relevance,table_count_estimate,review_status
FILE-C87DF2B5FF2A940E,SRC-BFEDCB63238B2FB1,CONTENT-DC5DFFC472D92511,00-governance/decision-hub-research-briefing/templates/product-policy.yaml,governance,.yaml,312,F2CBFDCFE6B8545591C1FEC538212817D79E71AEC6174EDE4823458BD31F4828,18,structured_data,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,high,high_candidate_not_authorized,0,machine_classified_needs_human_review
FILE-6F4E4BFA6C983E29,SRC-3FAB4B61075A2D3C,CONTENT-99654C5874CC3B59,00-governance/decision-hub-research-briefing/templates/source-record.yaml,governance,.yaml,456,E1643490C7FD18CE9919DC1EE26A3BB5E70C34B56579306E0D68B57157EEA296,27,structured_data,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,high,high_candidate_not_authorized,0,machine_classified_needs_human_review
FILE-AF5E05DB4BFA30EE,SRC-220617C86CD1443E,CONTENT-A8AEEBCB03093387,00-governance/decision-receipt.schema.json,governance,.json,3304,38CFEFC085608400ECFD86A1EF05E5699EB750BE081F7E56C133C2D4EC785EFB,78,schema_or_data_contract,not_scientific_research,not_applicable,currentness_unresolved,,high,high_candidate_not_authorized,0,machine_classified_needs_human_review
FILE-BC2FA6B38D76660C,SRC-BE2302B7B3BA8EDD,CONTENT-E8A3456C47EB1C6E,00-governance/evidence-record.schema.json,governance,.json,5292,B90195EBDD863DD376DCBE0E1868C4A70AA4774E25F9EE4C92CDD0DC08E758F5,119,schema_or_data_contract,not_scientific_research,not_applicable,currentness_unresolved,,high,high_candidate_not_authorized,0,machine_classified_needs_human_review
FILE-69ADBB4EBE6A131A,SRC-F15C4AEEFF218605,CONTENT-63349328A48CF3BD,00-governance/HYBRID-ENGINE-SOPs.md,governance,.md,12916,008EF68C63A23103F05B6096AE870B4D98C52CA406C7B9D39B2A0B2FA19AA134,393,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,4,machine_classified_needs_human_review
FILE-B15453FBC257607B,SRC-6369AC3A5774907F,CONTENT-4E95C36DBB46BE0E,00-governance/MASTER_README.md,governance,.md,3028,CACFFC55D827CEBD96529BCC9EB8587CFE94C6E1D456792BF7A277A6080A72D1,46,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-2A091D4750DAC215,SRC-5D34A958B136C2B0,CONTENT-6C4D3837CF711FEF,00-governance/THE-Hybrid-System-Evidence-README.md,governance,.md,6966,A5646883D2251B22A8CFE50EF518BD4C40919D9D50D9FED05A402942E9780BB0,253,research_synthesis_or_evidence_pack,candidate_evidence_unverified,secondary_or_unknown,currentness_unresolved,,low,medium_requires_review,0,machine_classified_needs_human_review
FILE-7B296A5EE2825995,SRC-07B3EA17E3E6DD6B,CONTENT-94C84778C6415DF2,00-governance/THE-Hybrid-System-Five-Engine-Research-Plan.md,governance,.md,18912,93385D4065521A082E81C6D847579ACA111A16504FCF25DC809285EF1B1588C8,608,research_synthesis_or_evidence_pack,candidate_evidence_unverified,mixed_secondary_with_primary_citations,currentness_unresolved,,medium,medium_requires_review,1,machine_classified_needs_human_review
FILE-1C6CFAD7DB044512,SRC-6B0BA1A0505A3F7D,CONTENT-F5C56F994BDFFF9B,00-governance/THE-Hybrid-System-Traceability-System-Design.md,governance,.md,11292,3877408B2CB263D50757C886F7D340EB423E631B596B3A9056095B6D89E4A9E9,444,product_or_system_design,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,medium_requires_review,0,machine_classified_needs_human_review
FILE-B7229F269DF1E943,SRC-FB4CFF7566106976,CONTENT-9E78A174C3E0E84B,01-strength/docs/strength-system-model.md,strength,.md,10255,275AA5F2497CD697DB700FBF66A13CA6A35B2E14D6BE7F8B6B7E60274EAF98F3,232,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,01-strength/strength-system-model.md,medium,low_or_contextual,2,machine_classified_needs_human_review
FILE-EFCBC5C8F45E3621,SRC-1CF7C0137F8A8557,CONTENT-9B1DA124B2D20488,01-strength/docs/strength-system-model.mmd,strength,.mmd,1132,A93477A48FF356008E2430C18A0F3429402A0BE8C8DBB6885FF7B1A43A6E8731,25,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,01-strength/strength-system-model.mmd,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-B0AC3A8767E04C74,SRC-5079B66668152334,CONTENT-9E78A174C3E0E84B,01-strength/strength-system-model.md,strength,.md,10255,275AA5F2497CD697DB700FBF66A13CA6A35B2E14D6BE7F8B6B7E60274EAF98F3,232,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,01-strength/docs/strength-system-model.md,medium,low_or_contextual,2,machine_classified_needs_human_review
FILE-7EAD0152B1CCA1EC,SRC-C59344652190B9F6,CONTENT-9B1DA124B2D20488,01-strength/strength-system-model.mmd,strength,.mmd,1132,A93477A48FF356008E2430C18A0F3429402A0BE8C8DBB6885FF7B1A43A6E8731,25,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,01-strength/docs/strength-system-model.mmd,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-D194571CD9E66A6E,SRC-44E594A2B9894449,CONTENT-5F64EB3F889FC841,01-strength/strengthside-plans-and-specs/plans/2026-08-02-adaptive-phase2-strength-progression.md,strength,.md,40812,84C659F3478C6E092E7C7842A616F707B54B82BF5EC235D4A4667C802066AD51,929,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-AC8C81808DF15303,SRC-B7D4E4D20113C36B,CONTENT-30AC0B996C8460D2,01-strength/strengthside-plans-and-specs/plans/2026-08-03-strength-conditioning-split.md,strength,.md,34050,0912349F766C367B9B8C8FFE51E6189B7B429628639575730BE140FA7E43DAB9,798,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-AA6A2F20F6C14B9C,SRC-5FC92C766C368719,CONTENT-8C926EE66EF07481,01-strength/strengthside-plans-and-specs/plans/2026-08-17-strength-phase-a-foundation.md,strength,.md,65301,2E33731080B82E45B5BC5E38E95770FD5F1C77AA5F893826D2820CDA5BF0AC19,1828,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-61FCC6F93F6BA94C,SRC-BBF27F7E1EEB1D14,CONTENT-2C4D4CE68B4CFB0E,01-strength/strengthside-plans-and-specs/plans/2026-08-18-strength-phase-e-progression.md,strength,.md,26415,F6D4B978EE9697FD55B69D36C51BD818937A3AB4C630C200CC5EEC941AEDAB69,605,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-138EEC4290D522D0,SRC-B33668AEDECE1D4C,CONTENT-DEC6DBF3A7ADFF5C,01-strength/strengthside-plans-and-specs/plans/2026-08-18-strength-phase-f-knowledge-base.md,strength,.md,25414,1F51E0CE3025AD4FA3AE977B613DABDEA008FE97AF46ED750D2B0473353BD5A7,548,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-72196CD334A34010,SRC-E36E64AFB52450EE,CONTENT-2F3D4F5553598DFF,01-strength/strengthside-plans-and-specs/plans/2026-08-19-strength-repo-split.md,strength,.md,5964,76F591A70EA2350F1E5518BAB7C2C61318EE161D73AAA573EFF8ED6D006FE4F9,101,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,low,low_or_contextual,0,machine_classified_needs_human_review
FILE-B7EDE6C37906FA78,SRC-3EE18950FFAEE02B,CONTENT-46CC58F119BC84F2,01-strength/strengthside-plans-and-specs/plans/2026-08-21-strength-phase-c-mobile-logger.md,strength,.md,53749,8FF5A2FEA9B438191B2ABFF6F4F1A36CD831239D26CFE2E579FAFE19E390A9F5,1127,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-D90A600F1B903F7C,SRC-A13AC298E7614616,CONTENT-3BA0EB0422250382,01-strength/strengthside-plans-and-specs/specs/2026-08-02-adaptive-phase2-strength-progression-design.md,strength,.md,17128,0218BA2A4220E439CCFCBF803545275B98D5C287E33BD66A06914D391ACABEF4,129,product_or_system_design,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,06-cross-system/hybrid-engine-specs/2026-08-02-adaptive-phase2-strength-progression-design.md,medium,medium_requires_review,0,machine_classified_needs_human_review
FILE-48D2701477B6C58E,SRC-D6666EA59C614538,CONTENT-190B53E1EA3E74D1,01-strength/strengthside-plans-and-specs/specs/2026-08-03-strength-conditioning-split-design.md,strength,.md,7582,46048CD69C37AF478742B8037801306F9E258C1A36D9BB7732FDB7644F39DC7D,138,product_or_system_design,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,06-cross-system/hybrid-engine-specs/2026-08-03-strength-conditioning-split-design.md,low,medium_requires_review,0,machine_classified_needs_human_review
FILE-4466145029E44E09,SRC-5D179F16FB159D8D,CONTENT-FDAF87A563FF6217,01-strength/strengthside-plans-and-specs/specs/2026-08-17-strength-rebuild-design.md,strength,.md,40275,E3124BC2318071BB53ACC5AC9B94C19ECB5FBE9AB6F201C9FFC59D911A965EDC,847,product_or_system_design,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,06-cross-system/hybrid-engine-specs/2026-08-17-strength-rebuild-design.md,medium,medium_requires_review,0,machine_classified_needs_human_review
FILE-AAB358594CB1A199,SRC-E78F1D2FE6522EF0,CONTENT-F8A805DA97510FD9,01-strength/strengthside-research/strength-adaptive-engine-v2/AUDIT.md,strength,.md,14592,EEC2356F589DD92064BCA3069FCF8DC6DA8A475BBF05457DAE947D4AE0F1E6DA,199,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/AUDIT.md | 06-cross-system/THE_Hybrid_Engine_Project_Handoff_2026-08-16/02_EVIDENCE_AND_DESIGN/AUDIT.md,medium,low_or_contextual,2,machine_classified_needs_human_review
FILE-5E3F3E10A52B03FF,SRC-0FADCE55C97A0D5B,CONTENT-199E849A35EE9148,01-strength/strengthside-research/strength-adaptive-engine-v2/design.md,strength,.md,24282,0A76F115A9F45F32D0510EFA1CBD42EDC131788634912298AD069274CF12782B,753,product_or_system_design,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/design.md | 06-cross-system/THE_Hybrid_Engine_Project_Handoff_2026-08-16/02_EVIDENCE_AND_DESIGN/design.md,medium,medium_requires_review,1,machine_classified_needs_human_review
FILE-F6509F01BBFA0400,SRC-55300895082AD5CB,CONTENT-5EF9BCD97DA18A8D,01-strength/strengthside-research/strength-adaptive-engine-v2/exercise-library/hybrid-engine-exercise-library-120-README.md,strength,.md,1872,BE41997EA2BA2978651160C85E733B4A5B79ADE4AB17FFE64B3C5C21CB603995,46,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/exercise-library/hybrid-engine-exercise-library-120-README.md | 06-cross-system/THE_Hybrid_Engine_Project_Handoff_2026-08-16/03_EXERCISE_LIBRARY/hybrid-engine-exercise-library-120-README.md,medium,low_or_contextual,1,machine_classified_needs_human_review
FILE-79AB7B230755A979,SRC-41261828EA789507,CONTENT-FD55AD532DEA82AB,01-strength/strengthside-research/strength-adaptive-engine-v2/exercise-library/hybrid-engine-exercise-library-120.csv,strength,.csv,55589,01AB173D1EB5CE3D65900DED2BEE4A273771718B54CE8D67BD97F0F187E77AC1,122,structured_data,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/exercise-library/hybrid-engine-exercise-library-120.csv,high,high_candidate_not_authorized,1,machine_classified_needs_human_review
FILE-999AAFD9B3D2FBAB,SRC-D688ABE43FE9D4C4,CONTENT-797DC1DA00C78AAF,01-strength/strengthside-research/strength-adaptive-engine-v2/exercise-library/hybrid-engine-exercise-library-120.json,strength,.json,142633,3E775BE7D550908B804EC0159ED3CAF31E3593E898A59D8BF970E9354889E4B3,5422,structured_data,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/exercise-library/hybrid-engine-exercise-library-120.json | 06-cross-system/THE_Hybrid_Engine_Project_Handoff_2026-08-16/03_EXERCISE_LIBRARY/hybrid-engine-exercise-library-120.json,high,high_candidate_not_authorized,0,machine_classified_needs_human_review
FILE-B5D08FB3AED2EA28,SRC-2D65C5642ED09593,CONTENT-E4168D0223F0A7C0,01-strength/strengthside-research/strength-adaptive-engine-v2/FILE_TREE.md,strength,.md,4392,E18BBE992B5DA528C05973F327B83868DE6B3E9C3F7BD0F9ABAD593351797E48,120,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/FILE_TREE.md | 06-cross-system/THE_Hybrid_Engine_Project_Handoff_2026-08-16/02_EVIDENCE_AND_DESIGN/FILE_TREE.md,low,low_or_contextual,0,machine_classified_needs_human_review
FILE-47E6D282ED59AC79,SRC-C76251932CDB1BF8,CONTENT-C6E94BBAD4761D76,01-strength/strengthside-research/strength-adaptive-engine-v2/final-evidence-dossier.md,strength,.md,821366,AF973C950A634F90BBA822C03D4074B4E6624F5CFA63E29109A3902B33C4D0E2,4651,research_synthesis_or_evidence_pack,candidate_evidence_unverified,mixed_secondary_with_primary_citations,exact_duplicate,02-conditioning/hybrid-engine-research/2026-08-16-progression-evidence-answer.md | 02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/final-evidence-dossier.md | 06-cross-system/THE_Hybrid_Engine_Project_Handoff_2026-08-16/01_FINAL_DOSSIER/hybrid-engine-final-evidence-dossier.md,medium,medium_requires_review,16,machine_classified_needs_human_review
FILE-984EEB009F8C14D6,SRC-756C3C6E575A0A80,CONTENT-D493E7EAB4ECB504,01-strength/strengthside-research/strength-adaptive-engine-v2/hybrid_adaptive_evidence_bundle_2026-08-01.md,strength,.md,60245,6A1A2F7361651F296087CC69F18C3ACA39D1E6D968061D61EF22AB7420C81FD5,463,research_synthesis_or_evidence_pack,candidate_evidence_unverified,mixed_secondary_with_primary_citations,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/hybrid_adaptive_evidence_bundle_2026-08-01.md | 06-cross-system/THE_Hybrid_Engine_Project_Handoff_2026-08-16/02_EVIDENCE_AND_DESIGN/hybrid_adaptive_evidence_bundle_2026-08-01.md,medium,medium_requires_review,10,machine_classified_needs_human_review
FILE-62EB16B5FC9A6F65,SRC-0C51F4C4856CE49D,CONTENT-35C482C8D1258FC0,01-strength/strengthside-research/strength-adaptive-engine-v2/HybridTraining_Audit.md,strength,.md,13676,3389AC6011FF09F40056B82AC8B5BA44E126C28D961D0B81B68F6BA596A119CB,170,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/HybridTraining_Audit.md | 06-cross-system/THE_Hybrid_Engine_Project_Handoff_2026-08-16/02_EVIDENCE_AND_DESIGN/HybridTraining_Audit.md,medium,low_or_contextual,2,machine_classified_needs_human_review
FILE-76D8BB6A40C2DF81,SRC-A365D79D5B58E805,CONTENT-1034659C2800A2A9,01-strength/strengthside-research/strength-adaptive-engine-v2/INDEX.md,strength,.md,3779,2EDCDED18D95D84021C80EBCDF69D8E9FAF6E7A0894ABF29120E5DB2CD328688,63,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/INDEX.md,low,low_or_contextual,0,machine_classified_needs_human_review
FILE-79654FD3BA07D11C,SRC-B30F130777F75BAA,CONTENT-55AD71B8FAB7249A,01-strength/strengthside-research/strength-adaptive-engine-v2/JARVIS_TAKEOVER_AUDIT.md,strength,.md,3161,C620183976940ACC919AD03BA06E063BCDBCFBA13F7FE24DEB04B762E9865905,65,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/JARVIS_TAKEOVER_AUDIT.md | 06-cross-system/THE_Hybrid_Engine_Project_Handoff_2026-08-16/02_EVIDENCE_AND_DESIGN/JARVIS_TAKEOVER_AUDIT.md,low,low_or_contextual,0,machine_classified_needs_human_review
FILE-147D51D28F2D455A,SRC-CE3D8543FFED3159,CONTENT-153A6463D221FE7D,01-strength/strengthside-research/strength-adaptive-engine-v2/README_FIRST.md,strength,.md,2079,83F7D909D87E2D463A90380DD55A032AC2D3CFB10382B7FF9399452E21DF5BFC,36,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/README_FIRST.md | 06-cross-system/THE_Hybrid_Engine_Project_Handoff_2026-08-16/README_FIRST.md,medium,low_or_contextual,1,machine_classified_needs_human_review
FILE-3028D34DE46CE448,SRC-0516CEECDD6F5FD4,CONTENT-BAA7B6BEFC8A9751,01-strength/strengthside-research/strength-adaptive-engine-v2/THE-Coach-Brain-v0-AI-Model-Spec.md,strength,.md,12793,691DF167A1704B95E848AAC2B952837D1BE8636FE115480F65F8C7091031FCE8,504,product_or_system_design,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/strength-adaptive-engine-v2/THE-Coach-Brain-v0-AI-Model-Spec.md | 05-coordinator/THE-Coach-Brain-v0-AI-Model-Spec.md | 06-cross-system/THE_Hybrid_Engine_Project_Handoff_2026-08-16/02_EVIDENCE_AND_DESIGN/THE-Coach-Brain-v0-AI-Model-Spec.md,medium,medium_requires_review,0,machine_classified_needs_human_review
FILE-622D13906A9B3A21,SRC-B9168CF214BD093D,CONTENT-B2F526B9A2B44A00,01-strength/THE_Hybrid_Strength_Algorithm_Transparency_Audit_2026-08-25.md,strength,.md,12654,7AB062E6C662F5003C5A22318B985EA528B38F8C0C1E652D0CDC7FD6F5EFCE40,154,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,1,machine_classified_needs_human_review
FILE-A30339F4E4D4751D,SRC-E8E038DAF199956C,CONTENT-FABE5E8AD6645C2F,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,strength,.md,24432,8B679679F89A7A7487D240CD971ABFDD0761FF20CB617941A273ABA03FD0F41F,78,claim_registry,candidate_evidence_unverified,mixed_secondary_with_primary_citations,currentness_unresolved,,high,high_candidate_not_authorized,1,machine_classified_needs_human_review
FILE-B1EEEFB7CA702A32,SRC-7AACD9100A6920EB,CONTENT-E0F2F82ACE6B6F42,01-strength/THE_Hybrid_Strength_Deep_Pass_Changelog_2026-08-25.md,strength,.md,3219,9C8BC664F0CF16B0D21613420C45ABB2568847328DCA8164CEEBDAE9373CCE0C,46,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-997670FFB39BA688,SRC-66F207FF19AB7FC8,CONTENT-70873F0B1F2B051F,01-strength/THE_Hybrid_Strength_Formula_Registry.md,strength,.md,11621,9027BC4C230AA0EB02B1DA70F1DB7207FE9BCB5BD0BE9DFA2570ED3AEA144CC1,101,formula_registry,candidate_evidence_unverified,mixed_secondary_with_primary_citations,currentness_unresolved,,high,high_candidate_not_authorized,3,machine_classified_needs_human_review
FILE-6E9B16610FF68DD3,SRC-714BB4632EB50F3F,CONTENT-204BCA2B3D8E7ED1,01-strength/THE_Hybrid_Strength_Implementation_Checklist.md,strength,.md,8373,E510802B56AA6F7EAD84D5B0EA9B653CD2F384AC3657AA4ED3EBCBDAFFD8545A,124,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-3AE445AF9FE6A66D,SRC-694E4867E3BEB662,CONTENT-CD1C4799DF538684,01-strength/THE_Hybrid_Strength_MacroFactor_RP_Deep_Technical_Research.md,strength,.md,30504,6B4D22EF8CD6C8E6FF40789B3998205235C9022F7734EE56A3C20417A6BC3777,535,research_synthesis_or_evidence_pack,candidate_evidence_unverified,mixed_secondary_with_primary_citations,currentness_unresolved,,medium,medium_requires_review,2,machine_classified_needs_human_review
FILE-BCB14F2ABD11B388,SRC-A85B8408F644D124,CONTENT-76652C381CF3F23E,01-strength/THE_Hybrid_Strength_MacroFactor_RP_Research_and_Implementation_Spec.md,strength,.md,51809,CAFBCC4B4D8DF347B87C6263932C72D2719E890C698936B2CBEA8753DB2FA192,853,research_synthesis_or_evidence_pack,candidate_evidence_unverified,mixed_secondary_with_primary_citations,currentness_unresolved,,medium,medium_requires_review,2,machine_classified_needs_human_review
FILE-0471878BB1772ED6,SRC-0CD15EF892ED3D58,CONTENT-2E2266BC09A3A878,01-strength/THE_Hybrid_Strength_PubMed_RP_Validation_Review.md,strength,.md,23071,3021041A282397BA13AE3C636E96498EDCB19BF2ECD5055C5F7712FBA774C4BC,210,research_synthesis_or_evidence_pack,candidate_evidence_unverified,mixed_secondary_with_primary_citations,currentness_unresolved,,medium,medium_requires_review,3,machine_classified_needs_human_review
FILE-7E12676232686C7B,SRC-3C3F597D921B9807,CONTENT-7C8C8C6B9B4D6130,01-strength/THE_Hybrid_Strength_README.md,strength,.md,3911,0B0DF6FF826A919742DF1F63A8A9CC393924048406AC6878CDEC74FD7BD1AF8E,69,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,0,machine_classified_needs_human_review
FILE-E56D3B0A99DDBB83,SRC-7ADC0F5664199F9D,CONTENT-422BAC340EDD2C30,01-strength/THE_Hybrid_Strength_Test_Vectors.json,strength,.json,15160,72C93E724EECE55DB7A920FC9D68462A4DA0DAAF9D3F351B9AD42EDEFACD668D,545,test_or_fixture,not_scientific_research,not_applicable,currentness_unresolved,,high,high_candidate_not_authorized,0,machine_classified_needs_human_review
FILE-4DAFB09B0932A584,SRC-F1ACEFDB5662E3BC,CONTENT-8093136D2383D4C8,02-conditioning/conditioning_evidence_handoff.md,conditioning,.md,65305,28AFEF435332441B1A95228FCB4DF5607D9FDABB37E1B4B799F1D47326EB9FE7,703,ai_handoff_or_working_note,context_or_design_not_validated,not_evidence_by_itself,exact_duplicate,02-conditioning/hybrid-engine-research/conditioning-evidence-bundle/conditioning_evidence_handoff.md,medium,low_or_contextual,7,machine_classified_needs_human_review
FILE-388B368D4D668A3B,SRC-97B649EF6C6881ED,CONTENT-8055F34B21C295DF,02-conditioning/hybrid-engine-research/2026-07-30-conditioning-progression-science.md,conditioning,.md,15071,BC2FD9E2ABFB81980FE6264AA8C9BFABE81ADBC5D9EEA6316B9EC0B21162F80F,259,documentation_or_other,context_or_design_not_validated,not_evidence_by_itself,currentness_unresolved,,medium,low_or_contextual,1,machine_classified_needs_human_review
