exercise_id,name,category,movement_pattern,equipment,primary_muscles,secondary_muscles,difficulty,role,is_unilateral,is_compound,tracking_mode,default_rep_range,default_rest_seconds,coaching_cues,aliases,search_terms,source_aliases,source_occurrences,built_in
core-rowing-erg,Rowing (Erg),Cardio,conditioning,cardio machine,cardiorespiratory system,legs; trunk,intermediate,conditioning,False,False,duration_distance,duration / distance,0,"Start below maximum effort.; Keep the rhythm repeatable.; Use duration, distance, and RPE to guide progression.",,Cardio; Rowing (Erg); cardio machine; cardiorespiratory system; conditioning; legs; trunk,,0,True
core-running,Running,Cardio,conditioning,treadmill or outdoors,cardiorespiratory system,legs; trunk,beginner,conditioning,False,False,duration_distance,duration / distance,0,"Start below maximum effort.; Keep the rhythm repeatable.; Use duration, distance, and RPE to guide progression.",,Cardio; Running; cardiorespiratory system; conditioning; legs; treadmill or outdoors; trunk,,11,True
core-swimming,Swimming,Cardio,conditioning,pool,cardiorespiratory system,legs; trunk,beginner,conditioning,False,False,duration_distance,duration / distance,0,"Start below maximum effort.; Keep the rhythm repeatable.; Use duration, distance, and RPE to guide progression.",,Cardio; Swimming; cardiorespiratory system; conditioning; legs; pool; trunk,,0,True
core-ab-wheel-rollout,Ab Wheel Rollout,Core,core,bodyweight; external load optional,abdominals,hip flexors; obliques,advanced,accessory,False,False,reps_load,8–15 reps,60,Keep the ribs and pelvis connected.; Breathe behind the brace.; Stop before the trunk position changes.,,Ab Wheel Rollout; Core; abdominals; bodyweight; core; external load optional; hip flexors; obliques,,0,True
core-hanging-leg-raise,Hanging Leg Raise,Core,core,bodyweight; external load optional,abdominals,hip flexors; obliques,intermediate,accessory,False,False,reps_load,8–15 reps,60,Keep the ribs and pelvis connected.; Breathe behind the brace.; Stop before the trunk position changes.,,Core; Hanging Leg Raise; abdominals; bodyweight; core; external load optional; hip flexors; obliques,,21,True
core-pallof-press,Pallof Press,Core,core,bodyweight; external load optional,obliques; deep trunk stabilisers,glute medius,intermediate,accessory,False,False,reps_load,8–15 reps,60,Keep the ribs and pelvis connected.; Breathe behind the brace.; Stop before the trunk position changes.,,Core; Pallof Press; bodyweight; core; deep trunk stabilisers; external load optional; glute medius; obliques,,0,True
core-plank,Plank,Core,core,bodyweight; external load optional,abdominals,hip flexors; obliques,beginner,accessory,False,False,time_or_reps,20–60 sec,60,Keep the ribs and pelvis connected.; Breathe behind the brace.; Stop before the trunk position changes.,,Core; Plank; abdominals; bodyweight; core; external load optional; hip flexors; obliques,,9,True
core-battle-ropes,Battle Ropes,Loaded Carry / Conditioning,carry,battle ropes,grip; trunk,trapezius; legs,intermediate,carry,False,True,distance_time_load,20–40 m or 20–60 sec,60,"Stand tall and keep the load close when appropriate.; Use short, quiet steps.; Finish the distance without leaning or rushing.",,Battle Ropes; Loaded Carry / Conditioning; battle ropes; carry; grip; legs; trapezius; trunk,,51,True
core-farmer-walk,Farmer Walk,Loaded Carry / Conditioning,carry,dumbbells or kettlebells,grip; trunk,trapezius; legs,beginner,carry,False,True,distance_time_load,20–40 m or 20–60 sec,60,"Stand tall and keep the load close when appropriate.; Use short, quiet steps.; Finish the distance without leaning or rushing.",Farmer Carry; Farmer's Carry; Farmer's Walk,Farmer Carry; Farmer Walk; Farmer's Carry; Farmer's Walk; Loaded Carry / Conditioning; carry; dumbbells or kettlebells; grip; legs; trapezius; trunk,Farmer Carry,72,True
core-sled-push,Sled Push,Loaded Carry / Conditioning,carry,sled,grip; trunk,trapezius; legs,intermediate,carry,False,True,distance_time_load,20–40 m or 20–60 sec,60,"Stand tall and keep the load close when appropriate.; Use short, quiet steps.; Finish the distance without leaning or rushing.",,Loaded Carry / Conditioning; Sled Push; Sledpush; carry; grip; legs; sled; trapezius; trunk,Sledpush,82,True
core-cable-fly,Cable Fly,Machine / Isolation,isolation,cable station,chest,anterior deltoids; triceps,intermediate,accessory,False,False,reps_load,8–15 reps,60,Use a stable position and a manageable load.; Move through the target joint without momentum.; Stop the set when the target muscle loses control.,,Cable Fly; Machine / Isolation; anterior deltoids; cable station; chest; isolation; triceps,,3,True
core-calf-raise,Calf Raise,Machine / Isolation,isolation,machine,calves,feet and ankles,intermediate,accessory,False,False,reps_load,8–15 reps,60,Use a stable position and a manageable load.; Move through the target joint without momentum.; Stop the set when the target muscle loses control.,,Calf Raise; Machine / Isolation; calves; feet and ankles; isolation; machine,,7,True
core-leg-curl,Leg Curl,Machine / Isolation,isolation,machine,hamstrings,calves,intermediate,accessory,False,False,reps_load,8–15 reps,60,Use a stable position and a manageable load.; Move through the target joint without momentum.; Stop the set when the target muscle loses control.,,Leg Curl; Machine / Isolation; calves; hamstrings; isolation; machine,,0,True
core-leg-extension,Leg Extension,Machine / Isolation,isolation,machine,quadriceps,hip flexors,intermediate,accessory,False,False,reps_load,8–15 reps,60,Use a stable position and a manageable load.; Move through the target joint without momentum.; Stop the set when the target muscle loses control.,,Leg Extension; Machine / Isolation; hip flexors; isolation; machine; quadriceps,,8,True
core-pec-deck,Pec Deck,Machine / Isolation,isolation,machine,chest,anterior deltoids; triceps,intermediate,accessory,False,False,reps_load,8–15 reps,60,Use a stable position and a manageable load.; Move through the target joint without momentum.; Stop the set when the target muscle loses control.,,Machine / Isolation; Pec Deck; anterior deltoids; chest; isolation; machine; triceps,,1,True
core-box-jump,Box Jump,Power & Athletic,power,box or bench,quadriceps; glutes,calves; hamstrings,advanced,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Box Jump; Power & Athletic; box or bench; calves; glutes; hamstrings; power; quadriceps,,6,True
core-broad-jump,Broad Jump,Power & Athletic,power,free weights or bodyweight,quadriceps; glutes,calves; hamstrings,advanced,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Broad Jump; Power & Athletic; calves; free weights or bodyweight; glutes; hamstrings; power; quadriceps,,207,True
core-medicine-ball-slam,Medicine Ball Slam,Power & Athletic,power,medicine ball,trunk; shoulders,hips; arms,intermediate,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Medicine Ball Slam; Power & Athletic; arms; hips; medicine ball; power; shoulders; trunk,,0,True
core-seated-dynamic-jump,Seated Dynamic Jump,Power & Athletic,power,box or bench,quadriceps; glutes,calves; hamstrings,intermediate,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Power & Athletic; Seated Dynamic Jump; box or bench; calves; glutes; hamstrings; power; quadriceps,,0,True
core-cable-lateral-raise,Cable Lateral Raise,Shoulders / Isolation,isolation,cable station,deltoids,trapezius; rotator cuff,intermediate,accessory,False,False,reps_load,8–15 reps,60,Use a stable position and a manageable load.; Move through the target joint without momentum.; Stop the set when the target muscle loses control.,,Cable Lateral Raise; Shoulders / Isolation; cable station; deltoids; isolation; rotator cuff; trapezius,,1,True
core-lateral-raise,Lateral Raise,Shoulders / Isolation,isolation,free weights or bodyweight,deltoids,trapezius; rotator cuff,intermediate,accessory,False,False,reps_load,8–15 reps,60,Use a stable position and a manageable load.; Move through the target joint without momentum.; Stop the set when the target muscle loses control.,,Lateral Raise; Shoulders / Isolation; deltoids; free weights or bodyweight; isolation; rotator cuff; trapezius,,0,True
core-rear-delt-fly,Rear Delt Fly,Shoulders / Isolation,isolation,free weights or bodyweight,rear deltoids,upper back,intermediate,accessory,False,False,reps_load,8–15 reps,60,Use a stable position and a manageable load.; Move through the target joint without momentum.; Stop the set when the target muscle loses control.,,Rear Delt Fly; Shoulders / Isolation; free weights or bodyweight; isolation; rear deltoids; upper back,,0,True
core-deadlift,Deadlift,Strength — Hinge,hinge,barbell; rack or bench,glutes; hamstrings,spinal erectors; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,,Deadlift; Strength — Hinge; barbell; glutes; hamstrings; hinge; rack or bench; spinal erectors; upper back,,135,True
core-good-morning,Good Morning,Strength — Hinge,hinge,barbell; rack or bench,glutes; hamstrings,spinal erectors; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,,Good Morning; Strength — Hinge; barbell; glutes; hamstrings; hinge; rack or bench; spinal erectors; upper back,,4,True
core-hip-thrust,Hip Thrust,Strength — Hinge,hinge,free weights or bodyweight,glutes; hamstrings,spinal erectors; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,,Hip Thrust; Strength — Hinge; free weights or bodyweight; glutes; hamstrings; hinge; spinal erectors; upper back,,6,True
core-nordic-curl,Nordic Curl,Strength — Hinge,hinge,free weights or bodyweight,glutes; hamstrings,spinal erectors; upper back,advanced,strength,False,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,,Nordic Curl; Strength — Hinge; free weights or bodyweight; glutes; hamstrings; hinge; spinal erectors; upper back,,18,True
core-romanian-deadlift,Romanian Deadlift,Strength — Hinge,hinge,free weights or bodyweight,glutes; hamstrings,spinal erectors; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,RDL; RDLs,RDL; RDLs; Romanian Deadlift; Strength — Hinge; free weights or bodyweight; glutes; hamstrings; hinge; spinal erectors; upper back,RDL,160,True
core-sumo-deadlift,Sumo Deadlift,Strength — Hinge,hinge,free weights or bodyweight,glutes; hamstrings,spinal erectors; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,,Strength — Hinge; Sumo DeadLift; Sumo Deadlift; free weights or bodyweight; glutes; hamstrings; hinge; spinal erectors; upper back,Sumo DeadLift,93,True
core-trap-bar-deadlift,Trap Bar Deadlift,Strength — Hinge,hinge,trap bar,glutes; hamstrings,spinal erectors; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,Trap-Bar Deadlift; Trap Bar Deadlifts,Strength — Hinge; Trap Bar Deadlift; Trap Bar Deadlifts; Trap-Bar Deadlift; Trapbar Deadlift; glutes; hamstrings; hinge; spinal erectors; trap bar; upper back,Trapbar Deadlift; Trap Bar Deadlifts,67,True
core-barbell-row,Barbell Row,Strength — Horizontal Pull,horizontal_pull,barbell; rack or bench,upper back; lats,biceps; rear deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Keep the trunk stable and avoid using momentum.; Pull the elbows toward the body.; Pause briefly in the contracted position.,BB Row; Bent Over Row,BB Row; Barbell Row; Barbell row.; Bent Over Row; Strength — Horizontal Pull; barbell; biceps; horizontal pull; lats; rack or bench; rear deltoids; upper back,Barbell row.; Bent Over Row,54,True
core-cable-row,Cable Row,Strength — Horizontal Pull,horizontal_pull,cable station,upper back; lats,biceps; rear deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Keep the trunk stable and avoid using momentum.; Pull the elbows toward the body.; Pause briefly in the contracted position.,,Cable Row; Strength — Horizontal Pull; biceps; cable station; horizontal pull; lats; rear deltoids; upper back,,0,True
core-chest-supported-row,Chest-Supported Row,Strength — Horizontal Pull,horizontal_pull,free weights or bodyweight,upper back; lats,biceps; rear deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Keep the trunk stable and avoid using momentum.; Pull the elbows toward the body.; Pause briefly in the contracted position.,,Chest Supported Row; Chest-Supported Row; Strength — Horizontal Pull; biceps; free weights or bodyweight; horizontal pull; lats; rear deltoids; upper back,Chest Supported Row,2,True
core-dumbbell-row,Dumbbell Row,Strength — Horizontal Pull,horizontal_pull,dumbbells; bench optional,upper back; lats,biceps; rear deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Keep the trunk stable and avoid using momentum.; Pull the elbows toward the body.; Pause briefly in the contracted position.,DB Row; 1-Arm DB Row,1-Arm DB Row; DB Row; Dumbbell Row; Strength — Horizontal Pull; bench optional; biceps; dumbbells; horizontal pull; lats; rear deltoids; upper back,DB Row; 1-Arm DB Row,146,True
core-face-pull,Face Pull,Strength — Horizontal Pull,horizontal_pull,cable station,upper back; lats,biceps; rear deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Keep the trunk stable and avoid using momentum.; Pull the elbows toward the body.; Pause briefly in the contracted position.,,Face Pull; Strength — Horizontal Pull; biceps; cable station; horizontal pull; lats; rear deltoids; upper back,,0,True
core-meadows-row,Meadows Row,Strength — Horizontal Pull,horizontal_pull,cable station,upper back; lats,biceps; rear deltoids,advanced,strength,False,True,reps_load,6–12 reps,120,Keep the trunk stable and avoid using momentum.; Pull the elbows toward the body.; Pause briefly in the contracted position.,,Meadows Row; Strength — Horizontal Pull; biceps; cable station; horizontal pull; lats; rear deltoids; upper back,,5,True
core-supinated-barbell-row,Supinated Barbell Row,Strength — Horizontal Pull,horizontal_pull,barbell; rack or bench,upper back; lats,biceps; rear deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Keep the trunk stable and avoid using momentum.; Pull the elbows toward the body.; Pause briefly in the contracted position.,,Strength — Horizontal Pull; Supinated Barbell Row; Supinated Barbell row.; barbell; biceps; horizontal pull; lats; rack or bench; rear deltoids; upper back,Supinated Barbell row.,1,True
core-t-bar-row,T-Bar Row,Strength — Horizontal Pull,horizontal_pull,free weights or bodyweight,upper back; lats,biceps; rear deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Keep the trunk stable and avoid using momentum.; Pull the elbows toward the body.; Pause briefly in the contracted position.,,Strength — Horizontal Pull; T-Bar Row; biceps; free weights or bodyweight; horizontal pull; lats; rear deltoids; upper back,,44,True
core-bench-press,Bench Press,Strength — Horizontal Push,horizontal_push,barbell; rack or bench,chest,triceps; anterior deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,,Bench Press; Strength — Horizontal Push; anterior deltoids; barbell; chest; horizontal push; rack or bench; triceps,,278,True
core-close-grip-bench-press,Close Grip Bench Press,Strength — Horizontal Push,horizontal_push,bodyweight; external load optional,chest,triceps; anterior deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,,Close Grip Bench Press; Strength — Horizontal Push; anterior deltoids; bodyweight; chest; external load optional; horizontal push; triceps,,145,True
core-dip,Dip,Strength — Horizontal Push,horizontal_push,bodyweight; external load optional,chest,triceps; anterior deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,,Dip; Strength — Horizontal Push; anterior deltoids; bodyweight; chest; external load optional; horizontal push; triceps,,0,True
core-dumbbell-bench-press,Dumbbell Bench Press,Strength — Horizontal Push,horizontal_push,dumbbells; bench optional,chest,triceps; anterior deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,DB Bench Press,DB Bench Press; Dumbbell Bench Press; Strength — Horizontal Push; anterior deltoids; bench optional; chest; dumbbells; horizontal push; triceps,DB Bench Press,66,True
core-incline-bench-press,Incline Bench Press,Strength — Horizontal Push,horizontal_push,bodyweight; external load optional,chest,triceps; anterior deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,,Incline Bench Press; Strength — Horizontal Push; anterior deltoids; bodyweight; chest; external load optional; horizontal push; incline Bench Press; triceps,incline Bench Press,58,True
core-low-incline-db-bench,Low Incline 1 1/4 Dumbbell Bench Press,Strength — Horizontal Push,horizontal_push,dumbbells; bench optional,chest,triceps; anterior deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,,Low Incline 1 1/4 Dumbbell Bench Press; Strength — Horizontal Push; anterior deltoids; bench optional; chest; dumbbells; horizontal push; triceps,,8,True
core-push-up,Push Up,Strength — Horizontal Push,horizontal_push,bodyweight; external load optional,chest,triceps; anterior deltoids,beginner,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,Push-Up; Push Ups; Bodyweight Push-Up,Bodyweight Push-Up; Push Up; Push Ups; Push up; Push-Up; Strength — Horizontal Push; anterior deltoids; bodyweight; chest; external load optional; horizontal push; triceps,Push up; Push-Up; Push Ups,39,True
core-strict-bar-dip,Strict Bar Dip,Strength — Horizontal Push,horizontal_push,bodyweight; external load optional,chest,triceps; anterior deltoids,advanced,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,,Strength — Horizontal Push; Strict Bar Dip; anterior deltoids; bodyweight; chest; external load optional; horizontal push; strict bar dip; triceps,strict bar dip,12,True
core-back-squat,Back Squat,Strength — Squat,squat,barbell; rack or bench,quadriceps; glutes,adductors; trunk,intermediate,strength,False,True,reps_load,3–8 reps,150,Brace before each rep and keep the full foot grounded.; Control the descent without losing knee and foot position.; Stand by driving through the floor.,,Back Squat; Strength — Squat; adductors; barbell; glutes; quadriceps; rack or bench; squat; trunk,,310,True
core-box-squat,Box Squat,Strength — Squat,squat,box or bench,quadriceps; glutes,adductors; trunk,intermediate,strength,False,True,reps_load,3–8 reps,150,Brace before each rep and keep the full foot grounded.; Control the descent without losing knee and foot position.; Stand by driving through the floor.,,Box Squat; Strength — Squat; adductors; box or bench; glutes; quadriceps; squat; trunk,,56,True
core-front-squat,Front Squat,Strength — Squat,squat,barbell; rack or bench,quadriceps; glutes,adductors; trunk,intermediate,strength,False,True,reps_load,3–8 reps,150,Brace before each rep and keep the full foot grounded.; Control the descent without losing knee and foot position.; Stand by driving through the floor.,,Front Squat; Strength — Squat; adductors; barbell; glutes; quadriceps; rack or bench; squat; trunk,,220,True
core-goblet-squat,Goblet Squat,Strength — Squat,squat,free weights or bodyweight,quadriceps; glutes,adductors; trunk,beginner,strength,False,True,reps_load,3–8 reps,150,Brace before each rep and keep the full foot grounded.; Control the descent without losing knee and foot position.; Stand by driving through the floor.,,Goblet Squat; Strength — Squat; adductors; free weights or bodyweight; glutes; quadriceps; squat; trunk,,37,True
core-hack-squat,Hack Squat,Strength — Squat,squat,machine,quadriceps; glutes,adductors; trunk,intermediate,strength,False,True,reps_load,3–8 reps,150,Brace before each rep and keep the full foot grounded.; Control the descent without losing knee and foot position.; Stand by driving through the floor.,,Hack Squat; Strength — Squat; adductors; glutes; machine; quadriceps; squat; trunk,,0,True
core-leg-press,Leg Press,Strength — Squat,squat,machine,quadriceps; glutes,adductors; trunk,beginner,strength,False,True,reps_load,3–8 reps,150,Brace before each rep and keep the full foot grounded.; Control the descent without losing knee and foot position.; Stand by driving through the floor.,,Leg Press; Strength — Squat; adductors; glutes; machine; quadriceps; squat; trunk,,17,True
core-zercher-squat,Zercher Squat,Strength — Squat,squat,barbell; rack or bench,quadriceps; glutes,adductors; trunk,advanced,strength,False,True,reps_load,3–8 reps,150,Brace before each rep and keep the full foot grounded.; Control the descent without losing knee and foot position.; Stand by driving through the floor.,,Strength — Squat; Zercher Squat; adductors; barbell; glutes; quadriceps; rack or bench; squat; trunk,,25,True
core-bulgarian-split-squat,Bulgarian Split Squat,Strength — Unilateral,unilateral,bodyweight; external load optional,quadriceps; glutes,hamstrings; trunk,intermediate,strength,True,True,reps_load,6–12 reps / side,90,Own the stance before adding load.; Keep the pelvis level and the working foot stable.; Use a controlled tempo on the way down.,Bulgarian Split Squats; Rear-Foot-Elevated Split Squat,Bulgarian Split Squat; Bulgarian Split Squats; Bulgarian Split squat; Rear-Foot-Elevated Split Squat; Strength — Unilateral; bodyweight; external load optional; glutes; hamstrings; quadriceps; trunk; unilateral,Bulgarian Split squat; Bulgarian Split Squats,67,True
core-reverse-lunge,Reverse Lunge,Strength — Unilateral,unilateral,bodyweight; external load optional,quadriceps; glutes,hamstrings; trunk,intermediate,strength,True,True,reps_load,6–12 reps / side,90,Own the stance before adding load.; Keep the pelvis level and the working foot stable.; Use a controlled tempo on the way down.,,Reverse Lunge; Strength — Unilateral; bodyweight; external load optional; glutes; hamstrings; quadriceps; trunk; unilateral,,10,True
core-single-leg-rdl,Single Leg RDL,Strength — Unilateral,unilateral,bodyweight; external load optional,quadriceps; glutes,hamstrings; trunk,intermediate,strength,True,True,reps_load,6–12 reps / side,90,Own the stance before adding load.; Keep the pelvis level and the working foot stable.; Use a controlled tempo on the way down.,,Single Leg RDL; Strength — Unilateral; bodyweight; external load optional; glutes; hamstrings; quadriceps; trunk; unilateral,,35,True
core-step-up,Step Up,Strength — Unilateral,unilateral,box or bench,quadriceps; glutes,hamstrings; trunk,beginner,strength,True,True,reps_load,6–12 reps / side,90,Own the stance before adding load.; Keep the pelvis level and the working foot stable.; Use a controlled tempo on the way down.,,Step Up; Strength — Unilateral; box or bench; glutes; hamstrings; quadriceps; trunk; unilateral,,0,True
core-walking-lunge,Walking Lunge,Strength — Unilateral,unilateral,bodyweight; external load optional,quadriceps; glutes,hamstrings; trunk,intermediate,strength,True,True,reps_load,6–12 reps / side,90,Own the stance before adding load.; Keep the pelvis level and the working foot stable.; Use a controlled tempo on the way down.,,Strength — Unilateral; Walking Lunge; bodyweight; external load optional; glutes; hamstrings; quadriceps; trunk; unilateral,,6,True
core-chin-up,Chin Up,Strength — Vertical Pull,vertical_pull,bodyweight; external load optional,lats,biceps; upper back,advanced,strength,False,True,reps_load,3–8 reps,150,Start from a stable shoulder position.; Drive the elbows down rather than yanking with the hands.; Control the return to the start.,Chin-Up; Chin Ups,Chin Up; Chin Ups; Chin-Up; Strength — Vertical Pull; biceps; bodyweight; chin up; external load optional; lats; upper back; vertical pull,chin up; Chin-Up; Chin Ups,23,True
core-lat-pulldown,Lat Pulldown,Strength — Vertical Pull,vertical_pull,bodyweight; external load optional,lats,biceps; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Start from a stable shoulder position.; Drive the elbows down rather than yanking with the hands.; Control the return to the start.,Lat Pull Down; Lat Pulldowns,Lat Pull Down; Lat Pulldown; Lat Pulldowns; Strength — Vertical Pull; biceps; bodyweight; external load optional; lats; upper back; vertical pull,Lat Pull Down,66,True
core-neutral-grip-pulldown,Neutral Grip Pulldown,Strength — Vertical Pull,vertical_pull,bodyweight; external load optional,lats,biceps; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Start from a stable shoulder position.; Drive the elbows down rather than yanking with the hands.; Control the return to the start.,,Neutral Grip Pulldown; Strength — Vertical Pull; biceps; bodyweight; external load optional; lats; upper back; vertical pull,,0,True
core-pronated-strict-pull-up,Pronated Strict Pull Up,Strength — Vertical Pull,vertical_pull,bodyweight; external load optional,lats,biceps; upper back,advanced,strength,False,True,reps_load,3–8 reps,150,Start from a stable shoulder position.; Drive the elbows down rather than yanking with the hands.; Control the return to the start.,,Pronated Strict Pull Up; Strength — Vertical Pull; biceps; bodyweight; external load optional; lats; pronated strict pull up; upper back; vertical pull,pronated strict pull up,17,True
core-pull-up,Pull Up,Strength — Vertical Pull,vertical_pull,bodyweight; external load optional,lats,biceps; upper back,advanced,strength,False,True,reps_load,3–8 reps,150,Start from a stable shoulder position.; Drive the elbows down rather than yanking with the hands.; Control the return to the start.,Pull-Up; Pull Ups,Pull Up; Pull Ups; Pull-Up; Strength — Vertical Pull; biceps; bodyweight; external load optional; lats; upper back; vertical pull,Pull-Up,71,True
