claim_id,system,claim_text,claim_type_as_documented,confidence_as_documented,implementation_or_status_as_documented,source_boundary_as_documented,normalized_status,source_id,source_relative_path,source_line,review_status
S-011,strength,RP Hypertrophy is primarily for muscle growth; strength is secondary.,Product fact,High,Add a real strength mode; do not call RP Hypertrophy a strength optimiser.,[RP app scope](https://help.rpstrength.com/hc/en-us/articles/33510008280087-Who-is-the-RP-Hypertrophy-App-for).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,18,extracted_untrusted_pending_source_validation
S-012,strength,"RP uses MV, MEV, MAV, MRV and per-muscle emphasis.",Coaching/product fact,High,Use landmarks as priors and resource-allocation policies.,[RP volume landmarks](https://rpstrength.com/blogs/articles/training-volume-landmarks-muscle-growth) · [Muscle emphasis](https://help.rpstrength.com/hc/en-us/articles/34825395726743-Muscle-Emphasis-Breakdown).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,19,extracted_untrusted_pending_source_validation
S-013,strength,"RP adjusts sets from pump, soreness, workload and performance feedback.",Product fact,High,Keep feedback dimensions separate; no single readiness scalar.,[RP progression algorithm](https://help.rpstrength.com/hc/en-us/articles/32600173777815-How-does-the-app-determine-when-to-add-weight-reps-and-sets).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,20,extracted_untrusted_pending_source_validation
S-014,strength,RP final-cycle deload is automatic by default.,Product fact,High,Offer scheduled deload plus early review; do not universalise interval.,[RP deload](https://help.rpstrength.com/hc/en-us/articles/33510413024279-Does-the-app-automatically-place-deloads).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,21,extracted_untrusted_pending_source_validation
S-015,strength,RP’s 5–30 rep hypertrophy range is broad; it is not a maximal-strength prescription.,Product/coaching fact,High,Separate strength and hypertrophy role policies.,[RP rep range](https://help.rpstrength.com/hc/en-us/articles/30803058239127-What-should-my-rep-range-be).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,22,extracted_untrusted_pending_source_validation
S-016,strength,Heavy loading is more specific for 1RM strength while hypertrophy can occur across a wider load spectrum.,Scientific evidence,High,Protect heavier key-lift practice in strength mode.,[PMID 28834797](https://pubmed.ncbi.nlm.nih.gov/28834797/) · [PMID 33433148](https://pubmed.ncbi.nlm.nih.gov/33433148/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,23,extracted_untrusted_pending_source_validation
S-017,strength,"Closer-to-failure effort relates more clearly to hypertrophy than strength, with important uncertainty.",Scientific evidence,Moderate/High,Do not force failure on main strength lifts.,[PMID 38970765](https://pubmed.ncbi.nlm.nih.gov/38970765/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,24,extracted_untrusted_pending_source_validation
S-018,strength,Failure is not clearly superior to nonfailure for hypertrophy and produces more fatigue in some studies.,Scientific evidence,Moderate/High,Treat failure as optional set type.,[PMID 36334240](https://pubmed.ncbi.nlm.nih.gov/36334240/) · [PMID 38393985](https://pubmed.ncbi.nlm.nih.gov/38393985/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,25,extracted_untrusted_pending_source_validation
S-019,strength,Periodization may benefit 1RM strength more than hypertrophy when volume is equated.,Scientific evidence,High,Give strength mode more explicit intensity/skill periodization.,[PMID 35044672](https://pubmed.ncbi.nlm.nih.gov/35044672/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,26,extracted_untrusted_pending_source_validation
S-020,strength,RPE/RIR can regulate loading but relies on calibration.,Scientific evidence,Moderate/High,Combine subjective effort with objective history.,[PMID 26049792](https://pubmed.ncbi.nlm.nih.gov/26049792/) · [PMID 29628895](https://pubmed.ncbi.nlm.nih.gov/29628895/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,27,extracted_untrusted_pending_source_validation
S-021,strength,"Volume has a graded relationship with hypertrophy, with individual diminishing returns.",Scientific evidence,High,"Add volume conditionally, not as a fixed ladder for everyone.",[PMID 27433992](https://pubmed.ncbi.nlm.nih.gov/27433992/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,28,extracted_untrusted_pending_source_validation
S-022,strength,"Exact MacroFactor load estimator, RP set coefficients and hidden scores are private.",Private unknown,High,Use versioned transparent analogues; never claim exact clone.,No public coefficient set.,unsupported_or_rejected_claim,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,29,extracted_untrusted_pending_source_validation
S-023,strength,Existing Hybrid default is approximately +2.5% progression and −5% reactive reduction after repeated deterioration.,Inherited Hybrid decision,High as project fact; not science,Preserve as a policy version and validate.,Existing Hybrid evidence dossier; not MacroFactor/RP source code.,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,30,extracted_untrusted_pending_source_validation
S-024,strength,Pain must be separate from fatigue and performance.,Hybrid safety policy,High,Pain state blocks automatic escalation and routes to review.,Product safety design; not a diagnosis.,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,31,extracted_untrusted_pending_source_validation
S-025,strength,"MacroFactor custom programs default to 7 cycles, support 1–52 cycles and up to 14 unique training days per cycle.",Product fact,High,Model repeating cycle templates separately from dated sessions.,[Cycles](https://help.macrofactorapp.com/en/articles/302-change-number-of-cycles-in-a-program) · [Schedule](https://help.macrofactorapp.com/en/articles/301-change-program-schedule).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,32,extracted_untrusted_pending_source_validation
S-026,strength,MacroFactor requires user-selected starting loads before sufficient exercise history exists.,Product fact,High,Use a calibrated cold-start flow; do not fabricate precise loads.,[Starting load](https://help.macrofactorapp.com/en/articles/377-how-do-i-know-what-weight-to-start-with).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,33,extracted_untrusted_pending_source_validation
S-027,strength,"Equipment rounding, plate/bar inclusion and pin-loaded ranges materially constrain feasible recommendations.",Product fact,High,"Make rounding, fallback and warnings explicit in the recommendation object.",[Equipment](https://help.macrofactorapp.com/en/articles/390-how-to-change-equipment-settings-to-simplify-weight-recommendations) · [Plate calculator](https://help.macrofactorapp.com/en/articles/313-using-the-plate-calculator).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,34,extracted_untrusted_pending_source_validation
S-028,strength,"MacroFactor public warm-up and rest defaults are execution aids, not working-set stimulus rules.",Product fact,High,Store warm-ups separately; expose configurable rest defaults with readiness override.,[Warm-ups](https://help.macrofactorapp.com/en/articles/304-configuring-warm-ups) · [Rest timers](https://help.macrofactorapp.com/en/articles/303-change-default-rest-timers).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,35,extracted_untrusted_pending_source_validation
S-029,strength,"MacroFactor exposes exercise/muscle performance and export surfaces, but exact e1RM and weighting formulas are not public.",Product fact/unknown,High,Version analytics separately from prescription formulas.,[Performance](https://help.macrofactorapp.com/en/articles/344-viewing-exercise-performance-over-time) · [Export](https://help.macrofactorapp.com/en/articles/356-export-your-data-workouts).,unsupported_or_rejected_claim,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,36,extracted_untrusted_pending_source_validation
S-030,strength,Strength transfer is smaller when testing a movement different from the trained movement.,Scientific evidence,High,Keep exercise-specific strength histories and anchor lifts.,[PMID 36396899](https://pubmed.ncbi.nlm.nih.gov/36396899/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,37,extracted_untrusted_pending_source_validation
S-031,strength,More weekly set volume is associated with more strength and hypertrophy with diminishing returns.,Scientific evidence,Moderate/High,Increase volume gradually and learn the individual response.,[PMID 41343037](https://pubmed.ncbi.nlm.nih.gov/41343037/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,38,extracted_untrusted_pending_source_validation
S-032,strength,Frequency is mainly a volume-distribution/practice variable for strength when volume is equated; hypertrophy evidence supports roughly two exposures more clearly than one.,Scientific evidence,Moderate/High,"Use two exposures as a practical prior, not a rule.",[PMID 27102172](https://pubmed.ncbi.nlm.nih.gov/27102172/) · [PMID 29470825](https://pubmed.ncbi.nlm.nih.gov/29470825/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,39,extracted_untrusted_pending_source_validation
S-033,strength,"RIR autoregulation can improve strength versus fixed percentage loading, but RIR accuracy is imperfect.",Scientific evidence,Moderate/High,"Use RIR with confidence, history and error bands.",[PMID 31009432](https://pubmed.ncbi.nlm.nih.gov/31009432/) · [PMID 36135029](https://pubmed.ncbi.nlm.nih.gov/36135029/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,40,extracted_untrusted_pending_source_validation
S-034,strength,"Deload practice is common at roughly 5–6 week intervals, but survey evidence does not establish a universal causal interval.",Scientific evidence,Moderate,Support scheduled plus evidence-triggered deloads; do not hard-code a calendar superstition.,[PMID 38499934](https://pubmed.ncbi.nlm.nih.gov/38499934/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,41,extracted_untrusted_pending_source_validation
S-035,strength,A recent dose-response meta-analysis found the strongest relative evidence for fractional accounting of indirect sets.,Scientific evidence / policy anchor,Moderate/High,Store direct and indirect sets separately; expose `1.0 direct + 0.5 indirect` only as a replaceable view.,[PMID 41343037](https://pubmed.ncbi.nlm.nih.gov/41343037/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,42,extracted_untrusted_pending_source_validation
S-036,strength,"Concurrent training effects depend on sex, modality, duration, frequency and outcome; lower-body strength may be more sensitive than whole-muscle hypertrophy.",Scientific evidence,Moderate,Track cardio context and repeated lower-body performance; do not impose a blanket cardio penalty.,[PMID 37847373](https://pubmed.ncbi.nlm.nih.gov/37847373/) · [PMID 36508686](https://pubmed.ncbi.nlm.nih.gov/36508686/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,43,extracted_untrusted_pending_source_validation
S-037,strength,Velocity-loss thresholds can trade strength-oriented fatigue control against hypertrophy-oriented relative volume.,Scientific evidence,Moderate,Support optional device-measured velocity loss as a feature-flagged signal; never infer it from reps.,[PMID 35038063](https://pubmed.ncbi.nlm.nih.gov/35038063/) · [PMID 36178597](https://pubmed.ncbi.nlm.nih.gov/36178597/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,44,extracted_untrusted_pending_source_validation
S-038,strength,Problematic low energy availability/REDs is a complex clinical syndrome; no universal energy-availability cutoff diagnoses it.,Clinical consensus,High,Use a non-diagnostic fueling-safety review state and route to qualified care.,[IOC REDs consensus](https://pubmed.ncbi.nlm.nih.gov/37752011/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,45,extracted_untrusted_pending_source_validation
S-039,strength,"Chest pain, collapse/fainting, severe breathing difficulty, neurological symptoms and suspected heat stroke are hard-stop concerns.",Safety/clinical boundary,High,Enter `emergency_stop`; no training prescription or load adjustment.,[ACSM screening](https://journals.lww.com/acsm-msse/fulltext/2015/11000/updating_acsm_s_recommendations_for_exercise.28.aspx) · [Healthdirect 000](https://www.healthdirect.gov.au/calling-triple-zero) · [ACSM heat illness](https://pubmed.ncbi.nlm.nih.gov/34524191/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,46,extracted_untrusted_pending_source_validation
S-040,strength,"A boolean pain flag cannot represent acute illness, cardiopulmonary, neurological, heat, energy-availability and mental-health pathways.",Safety architecture,High,Replace it with structured health events and a priority-ordered safety state machine.,[IOC respiratory illness](https://pubmed.ncbi.nlm.nih.gov/35863871/) · [IOC concussion](https://pubmed.ncbi.nlm.nih.gov/37316210/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,47,extracted_untrusted_pending_source_validation
S-041,strength,"Return after illness/injury should be criteria-based, not cleared by elapsed days alone.",Clinical boundary,High,"Require symptom resolution, functional tolerance and clinician clearance where appropriate.",[Return-to-sport consensus](https://pubmed.ncbi.nlm.nih.gov/32647735/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,48,extracted_untrusted_pending_source_validation
S-042,strength,"True individual response and measurement error require repeated, standardised observations; one short block cannot establish a non-response.",Scientific evidence,Moderate/High,Add measurement-specific typical error/MDC and `unknown` response status.,[PMID 37038845](https://pubmed.ncbi.nlm.nih.gov/37038845/) · [PMID 39958513](https://pubmed.ncbi.nlm.nih.gov/39958513/).,unsupported_or_rejected_claim,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,49,extracted_untrusted_pending_source_validation
S-043,strength,ACWR thresholds do not provide a reliable universal injury-risk prescription.,Scientific evidence,High,Do not implement an ACWR danger score; retain contextual load history only.,[ACWR critique](https://pubmed.ncbi.nlm.nih.gov/32502973/).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,50,extracted_untrusted_pending_source_validation
S-044,strength,"Missing health data is not evidence of normal health, and wearable recovery scores cannot override red flags.",Safety architecture,High,Use `insufficient_data`; safety state precedence beats readiness scores.,[IOC REDs consensus](https://pubmed.ncbi.nlm.nih.gov/37752011/) · [ACSM screening](https://journals.lww.com/acsm-msse/fulltext/2015/11000/updating_acsm_s_recommendations_for_exercise.28.aspx).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,51,extracted_untrusted_pending_source_validation
S-045,strength,MacroFactor separates repeating/completed program lifecycle actions and preserves workout history.,Product fact,High,"Model `repeat_block`, `complete_program`, `activate_program` and history preservation as events.",[Program ends](https://help.macrofactorapp.com/en/articles/396-what-happens-when-your-program-ends) · [Active programs](https://help.macrofactorapp.com/en/articles/289-set-or-swap-active-programs).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,52,extracted_untrusted_pending_source_validation
S-046,strength,MacroFactor backfill is manual and custom/altered programs can still use Smart Progression without automatically changing exercise selection.,Product fact,High,"Separate manual-history seeding, program structure and progression history.",[Backfill](https://help.macrofactorapp.com/en/articles/384-can-i-backfill-past-workouts-to-have-training-history) · [Custom programs](https://help.macrofactorapp.com/en/articles/387-will-smart-progression-work-with-altered-or-customized-programs).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,53,extracted_untrusted_pending_source_validation
S-047,strength,"Program edits can cascade across RIR, sets and rep bounds; post-set RIR corrections feed future recommendations.",Product fact,High,Require transactional diff/commit and preserve original plus corrected observations.,[RIR edits](https://help.macrofactorapp.com/en/articles/293-setting-rir-for-exercises-in-a-program) · [RIR correction](https://help.macrofactorapp.com/en/articles/314-changing-rir-during-an-active-workout).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,54,extracted_untrusted_pending_source_validation
S-048,strength,"RIR can vary by set, and later-set rep reductions at constant RIR can be normal fatigue.",Product fact,High,Store set-specific targets and avoid automatic underperformance flags from later-set reps alone.,[RIR across sets](https://help.macrofactorapp.com/en/articles/397-is-it-normal-to-see-failure-sets-or-rir-decreasing-across-sets).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,55,extracted_untrusted_pending_source_validation
S-049,strength,Warm-up configuration is hierarchical and can be overridden at exercise/session level.,Product fact,High,"Store global, exercise, cycle and session warm-up schemes independently.",[Warm-up configuration](https://help.macrofactorapp.com/en/articles/304-remove-or-add-smart-warm-ups).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,56,extracted_untrusted_pending_source_validation
S-050,strength,"Exercise identity includes laterality, load semantics, bodyweight status, ROM, stability, movement pattern and muscle mapping.",Product fact,High,Make exercise metadata first-class; never infer bilateral total load from the number entered.,[Custom exercise](https://help.macrofactorapp.com/en/articles/328-how-to-create-a-custom-exercise) · [RP load semantics](https://help.rpstrength.com/hc/en-us/articles/30801977895063-What-to-put-in-the-load-box).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,57,extracted_untrusted_pending_source_validation
S-051,strength,"Swapping an exercise starts a new future progression series, while historical context may remain visible.",Product fact,High,Link related movements without merging non-equivalent strength series.,[Exercise substitution](https://help.macrofactorapp.com/en/articles/375-what-should-i-do-if-i-cannot-perform-an-exercise-or-do-not-have-the-required-equipment).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,58,extracted_untrusted_pending_source_validation
S-052,strength,Exercises/workouts can be skipped for a cycle or temporarily and later restored.,Product fact,High,"Use reversible cycle-level omission events, not permanent deletion.",[Skip exercise](https://help.macrofactorapp.com/en/articles/399-how-to-skip-an-exercise-without-removing-it-from-your-program) · [Skip workout](https://help.macrofactorapp.com/en/articles/325-how-to-skip-a-workout).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,59,extracted_untrusted_pending_source_validation
S-053,strength,MacroFactor supersets are grouped rounds with rest after the round; RP manual adjacency is a distinct workflow.,Product fact,High,Represent superset grouping separately from adjacent exercise ordering.,[MacroFactor supersets](https://help.macrofactorapp.com/en/articles/321-supersetting-exercises) · [RP intensity techniques](https://rpstrength.com/blogs/articles/intensity-techniques-for-maximum-mass).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,60,extracted_untrusted_pending_source_validation
S-054,strength,"RP mesocycle length should vary with training age, and time limitation is different from recovery limitation.",Product/coaching fact,Moderate/High,Do not use one fixed cycle length or interpret “too long” as “can recover from more.”,[Mesocycle length](https://help.rpstrength.com/hc/en-us/articles/30976017295383-How-many-weeks-should-my-mesocycle-be) · [Long workouts](https://help.rpstrength.com/hc/en-us/articles/32600133107863-Why-is-the-RP-app-giving-me-so-many-sets-Long-Workouts).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,61,extracted_untrusted_pending_source_validation
S-055,strength,RP recommends sport volume be included in recovery arbitration and prioritised when same-day conflicts occur.,Product/coaching fact,Moderate/High,Treat sport/cardio as a recovery-budget input.,[RP sport training](https://help.rpstrength.com/hc/en-us/articles/30804097539095-How-should-I-incorporate-hypertrophy-training-into-sport-training).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,62,extracted_untrusted_pending_source_validation
S-056,strength,"Straight sets should remain the foundation; intensity techniques are best constrained to stable, low-skill accessory work.",Coaching/product fact,Moderate/High,Block automatic myo/drop/partial techniques on primary strength lifts.,[RP intensity techniques](https://rpstrength.com/blogs/articles/intensity-techniques-for-maximum-mass).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,63,extracted_untrusted_pending_source_validation
S-057,strength,"MacroFactor explicitly describes Smart Progression as rule-based rather than generative AI, but does not publish the full implementation.",Product fact / private unknown,High,Label public behaviour anchors separately from Hybrid policy; do not claim exact clone.,[MacroFactor Workouts](https://macrofactor.com/workouts/) · [Transparency audit](THE_Hybrid_Strength_Algorithm_Transparency_Audit_2026-08-25.md).,unsupported_or_rejected_claim,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,64,extracted_untrusted_pending_source_validation
S-058,strength,"MacroFactor public terms reserve rights in code, trade secrets and methods of operation and restrict reverse engineering, source extraction, scraping and cloning.",Legal/product boundary,High for terms; not proof of every secret,Treat MacroFactor implementation as company-controlled; use public docs only.,"[MacroFactor Terms](https://macrofactor.com/terms/), §§3.1, 7.4, 10.1.",scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,65,extracted_untrusted_pending_source_validation
S-059,strength,"MacroFactor publicly exposes behavioural anchors such as midpoint + RIR, RIR correction, equipment-aware rep/load alternatives and update timing, but not history weighting, objective/tie-break logic or full decision tables.",Product fact / private unknown,High,Implement a documented behavioural analogue and mark hidden components `UNKNOWN`.,[Expected failure](https://help.macrofactorapp.com/en/articles/372-what-does-progressive-overload-mean-in-macrofactor-workouts) · [Smart Progression](https://help.macrofactorapp.com/en/articles/305-understanding-and-using-smart-progressions).,unsupported_or_rejected_claim,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,66,extracted_untrusted_pending_source_validation
S-060,strength,"RP publicly says its app algorithms are complex but fairly predictable and describes weight, rep and feedback behaviour without publishing coefficients or a full current-app decision table.",Product fact / private unknown,High,Preserve qualitative RP anchors; version all missing weights as `HYBRID_POLICY` or `UNKNOWN`.,[RP progression algorithm](https://help.rpstrength.com/hc/en-us/articles/32600173777815-How-does-the-app-determine-when-to-add-weight-reps-and-sets).,unsupported_or_rejected_claim,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,67,extracted_untrusted_pending_source_validation
S-061,strength,"RP publishes a concrete volume-progression framework: 1–4 recovery/performance scores, add 2–3 sets for excellent scores, add 1 for moderate scores, maintain under rising fatigue, and recover/deload after severe performance loss.",Public training-framework rule,High as published framework; moderate as current-app identity,Implement only as a cited public anchor or independently versioned policy; do not assume every constant is current app code.,[RP volume landmarks](https://rpstrength.com/blogs/articles/training-volume-landmarks-muscle-growth).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,68,extracted_untrusted_pending_source_validation
S-062,strength,"RP describes an expert-system AI and feedback refinement, but the public description does not expose the rule base, smoothing window, volume tables or API/source.",Product fact / private unknown,High,Do not reproduce the label as if it revealed implementation; build transparent rules instead.,[RP expert-system description](https://help.rpstrength.com/hc/en-us/articles/32434237175447-Shouldn-t-I-be-doing-more-sets-or-weight).,unsupported_or_rejected_claim,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,69,extracted_untrusted_pending_source_validation
